compiler,backend,trial,size_bytes,samples,bytes_per_sample,median_MiB_s,min_MiB_s,max_MiB_s
gcc,before,1,64,5,16777216,102.420,99.573,105.017
gcc,before,1,4096,5,16777216,102.500,89.632,104.606
gcc,before,1,65536,5,16777216,98.228,97.177,104.453
gcc,before,1,1048576,5,16777216,99.788,99.649,102.258
gcc,portable,1,64,5,16777216,503.860,474.293,521.391
gcc,portable,1,4096,5,16777216,424.355,396.872,428.266
gcc,portable,1,65536,5,16777216,425.541,410.566,432.998
gcc,portable,1,1048576,5,16777216,410.078,401.408,422.868
gcc,auto,1,64,5,16777216,7272.314,7122.269,7556.009
gcc,auto,1,4096,5,16777216,9012.485,8803.984,9053.860
gcc,auto,1,65536,5,16777216,8361.628,7976.263,9135.293
gcc,auto,1,1048576,5,16777216,9020.930,8197.729,9198.886
gcc,portable,2,64,5,16777216,519.171,494.101,529.847
gcc,portable,2,4096,5,16777216,421.573,368.584,424.545
gcc,portable,2,65536,5,16777216,409.296,376.026,425.925
gcc,portable,2,1048576,5,16777216,420.952,408.342,424.613
gcc,auto,2,64,5,16777216,7927.896,7830.900,7939.674
gcc,auto,2,4096,5,16777216,9299.390,9255.649,9441.182
gcc,auto,2,65536,5,16777216,9242.048,8921.940,9267.513
gcc,auto,2,1048576,5,16777216,9142.930,8165.965,9232.273
gcc,before,2,64,5,16777216,103.282,100.662,104.164
gcc,before,2,4096,5,16777216,102.412,100.804,103.497
gcc,before,2,65536,5,16777216,102.287,100.435,102.395
gcc,before,2,1048576,5,16777216,103.115,100.620,103.513
gcc,auto,3,64,5,16777216,7764.638,7152.436,8200.460
gcc,auto,3,4096,5,16777216,9329.484,8811.223,9471.300
gcc,auto,3,65536,5,16777216,8427.040,7264.347,8739.024
gcc,auto,3,1048576,5,16777216,8842.730,8294.126,9168.639
gcc,before,3,64,5,16777216,99.729,98.584,100.530
gcc,before,3,4096,5,16777216,100.681,94.025,102.624
gcc,before,3,65536,5,16777216,97.556,91.626,103.189
gcc,before,3,1048576,5,16777216,97.196,93.237,101.368
gcc,portable,3,64,5,16777216,509.836,508.997,521.802
gcc,portable,3,4096,5,16777216,394.768,364.829,426.652
gcc,portable,3,65536,5,16777216,412.110,377.255,418.937
gcc,portable,3,1048576,5,16777216,386.506,318.525,419.383
gcc,before,4,64,5,16777216,101.652,100.370,102.764
gcc,before,4,4096,5,16777216,100.221,99.850,101.550
gcc,before,4,65536,5,16777216,100.498,98.907,101.071
gcc,before,4,1048576,5,16777216,100.992,100.182,101.718
gcc,portable,4,64,5,16777216,489.109,457.540,515.814
gcc,portable,4,4096,5,16777216,417.188,401.790,417.784
gcc,portable,4,65536,5,16777216,417.924,299.993,419.283
gcc,portable,4,1048576,5,16777216,412.624,387.889,424.744
gcc,auto,4,64,5,16777216,7331.855,7252.374,7516.900
gcc,auto,4,4096,5,16777216,9065.931,7767.771,9391.396
gcc,auto,4,65536,5,16777216,8949.332,8661.135,9331.008
gcc,auto,4,1048576,5,16777216,9239.908,9164.800,9251.143
gcc,portable,5,64,5,16777216,503.371,481.219,523.072
gcc,portable,5,4096,5,16777216,418.198,404.599,420.130
