build,trial,scenario,window,clients,client_index,phase,attempted,accepted,ok,submit_again,submit_errors,deadlines,rpc_errors,elapsed_s,client_cpu_s,client_peak_rss_kib,payload_MiB_s,ok_rps,small_p99_us,all_accepted_p99_us
auto,1,small,1,1,0,measure,256,256,256,0,0,0,0,0.027336464,0.01669,93224,0.571581,9364.781,269.871,269.871
auto,1,small,8,1,0,measure,256,256,256,0,0,0,0,0.05980587,0.014248,93224,0.261262,4280.516,42268.213,42268.213
auto,1,bulk,8,1,0,measure,256,256,256,0,0,0,0,0.111687763,0.026422,93224,286.513035,2292.104,0.0,43808.707
auto,1,mixed,8,1,0,measure,256,256,256,0,0,0,0,0.975855715,0.015539,93224,8.209942,262.334,87813.981,87813.981
auto,1,mixed,8,2,0,measure,256,256,256,0,0,0,0,0.75985292,0.017639,93224,10.543776,336.907,91835.211,91828.897
auto,1,mixed,8,2,1,measure,256,256,256,0,0,0,0,1.059855642,0.018179,93224,7.559255,241.542,88408.739,88408.739
auto,1,pressure,16,1,0,measure,64,64,0,0,0,64,0,0.02120457,0.001782,93224,0.0,0.0,0.0,5341.755
auto,1,pressure,16,1,0,recovery,64,64,64,0,0,0,0,0.150769605,0.003204,93224,0.025909,424.489,105241.909,105241.909
portable,1,small,1,1,0,measure,256,256,256,0,0,0,0,0.033981476,0.01737,93224,0.459809,7533.516,353.044,353.044
portable,1,small,8,1,0,measure,256,256,256,0,0,0,0,0.051798129,0.01039,93224,0.301652,4942.263,800.588,800.588
portable,1,bulk,8,1,0,measure,256,256,256,0,0,0,0,0.203854847,0.146124,93224,156.974438,1255.796,0.0,6441.152
portable,1,mixed,8,1,0,measure,256,256,256,0,0,0,0,0.939603606,0.036412,93224,8.526701,272.455,88291.331,88282.553
portable,1,mixed,8,2,0,measure,256,256,256,0,0,0,0,1.247871584,0.038967,93224,6.420307,205.149,87254.081,87392.883
portable,1,mixed,8,2,1,measure,256,256,256,0,0,0,0,1.547884798,0.037527,93224,5.175914,165.387,88842.067,88842.067
portable,1,pressure,16,1,0,measure,64,64,0,0,0,64,0,0.02141487,0.001865,93224,0.0,0.0,0.0,5450.036
portable,1,pressure,16,1,0,recovery,64,64,64,0,0,0,0,0.250471776,0.00275,93224,0.015596,255.518,205521.424,205521.424
nodelay-experiment,1,mixed,8,1,0,measure,256,256,256,0,0,0,0,0.021241473,0.015225,93224,377.173407,12051.895,823.778,844.242
nodelay-experiment,1,mixed,8,2,0,measure,256,256,256,0,0,0,0,0.020886511,0.016573,93224,383.583393,12256.714,1104.188,1068.887
nodelay-experiment,1,mixed,8,2,1,measure,256,256,256,0,0,0,0,0.022258703,0.017909,93224,359.936459,11501.119,943.755,961.076
nodelay-experiment,2,mixed,8,1,0,measure,256,256,256,0,0,0,0,0.018166205,0.024111,93224,441.023249,14092.101,615.764,694.1
nodelay-experiment,2,mixed,8,2,0,measure,256,256,256,0,0,0,0,0.031429841,0.025996,93224,254.908027,8145.126,1610.34,1601.086
nodelay-experiment,2,mixed,8,2,1,measure,256,256,256,0,0,0,0,0.03340345,0.022618,93224,239.847044,7663.879,1813.766,1814.087
portable,2,small,1,1,0,measure,256,256,256,0,0,0,0,0.038020043,0.019466,93224,0.410967,6733.291,277.157,277.157
portable,2,small,8,1,0,measure,256,256,256,0,0,0,0,0.143608975,0.010826,93224,0.108802,1782.618,44099.645,44099.645
portable,2,bulk,8,1,0,measure,256,256,256,0,0,0,0,0.151932656,0.100897,93224,210.619631,1684.957,0.0,4854.278
portable,2,mixed,8,1,0,measure,256,256,256,0,0,0,0,1.503842973,0.040842,93224,5.327497,170.231,88086.081,88086.081
portable,2,mixed,8,2,0,measure,256,256,256,0,0,0,0,1.385498727,0.035543,93224,5.782552,184.771,92226.384,92226.384
portable,2,mixed,8,2,1,measure,256,256,256,0,0,0,0,1.415772186,0.037166,93224,5.658904,180.82,131470.359,131470.359
portable,2,pressure,16,1,0,measure,64,64,0,0,0,64,0,0.021237222,0.001921,93224,0.0,0.0,0.0,5315.162
portable,2,pressure,16,1,0,recovery,64,64,64,0,0,0,0,0.170547937,0.00396,93224,0.022904,375.261,87226.652,87226.652
auto,2,small,1,1,0,measure,256,256,256,0,0,0,0,0.03822224,0.019167,93224,0.408793,6697.671,290.5,290.5
auto,2,small,8,1,0,measure,256,256,256,0,0,0,0,0.051595302,0.012496,93224,0.302838,4961.692,1113.217,1113.217
auto,2,bulk,8,1,0,measure,256,256,256,0,0,0,0,0.063071026,0.020691,93224,507.364507,4058.916,0.0,898.72
auto,2,mixed,8,1,0,measure,256,256,256,0,0,0,0,1.411717544,0.018238,93224,5.675157,181.339,130622.14,130622.14
auto,2,mixed,8,2,0,measure,256,256,256,0,0,0,0,1.05998768,0.017231,93224,7.558313,241.512,87717.871,87717.871
auto,2,mixed,8,2,1,measure,256,256,256,0,0,0,0,1.235789116,0.016235,93224,6.483079,207.155,87411.502,87407.186
auto,2,pressure,16,1,0,measure,64,64,0,0,0,64,0,0.021479055,0.001793,93224,0.0,0.0,0.0,5460.27
auto,2,pressure,16,1,0,recovery,64,64,64,0,0,0,0,0.174378244,0.002505,93224,0.022401,367.018,129711.604,129711.604
auto,3,small,1,1,0,measure,256,256,256,0,0,0,0,0.026220669,0.014791,93224,0.595904,9763.29,236.966,236.966
auto,3,small,8,1,0,measure,256,256,256,0,0,0,0,0.051854437,0.010457,93224,0.301324,4936.897,528.799,528.799
auto,3,bulk,8,1,0,measure,256,256,256,0,0,0,0,0.171531184,0.024565,93224,186.555,1492.44,0.0,44801.909
auto,3,mixed,8,1,0,measure,256,256,256,0,0,0,0,1.232108244,0.015463,93224,6.502447,207.774,87975.353,87975.353
auto,3,mixed,8,2,0,measure,256,256,256,0,0,0,0,1.279817132,0.017796,93224,6.26005,200.029,91742.494,91742.494
auto,3,mixed,8,2,1,measure,256,256,256,0,0,0,0,0.627800733,0.016702,93224,12.761563,407.773,91604.062,91604.062
auto,3,pressure,16,1,0,measure,64,64,0,0,0,64,0,0.021694828,0.00178,93224,0.0,0.0,0.0,5485.511
auto,3,pressure,16,1,0,recovery,64,64,64,0,0,0,0,0.158127939,0.002561,93224,0.024703,404.736,86009.186,86009.186
portable,3,small,1,1,0,measure,256,256,256,0,0,0,0,0.029582583,0.018757,93224,0.528182,8653.741,201.324,201.324
portable,3,small,8,1,0,measure,256,256,256,0,0,0,0,0.095815777,0.010396,93224,0.163073,2671.794,42950.816,42950.816
portable,3,bulk,8,1,0,measure,256,256,256,0,0,0,0,0.155761124,0.096898,93224,205.442791,1643.542,0.0,5550.413
portable,3,mixed,8,1,0,measure,256,256,256,0,0,0,0,1.454886495,0.044284,93224,5.506765,175.959,88256.184,88772.882
portable,3,mixed,8,2,0,measure,256,256,256,0,0,0,0,1.468667096,0.038296,93224,5.455095,174.308,133766.213,133766.213
portable,3,mixed,8,2,1,measure,256,256,256,0,0,0,0,1.547799596,0.038098,93224,5.176199,165.396,135884.199,135884.199
portable,3,pressure,16,1,0,measure,64,64,0,0,0,64,0,0.021491121,0.001936,93224,0.0,0.0,0.0,5415.264
portable,3,pressure,16,1,0,recovery,64,64,64,0,0,0,0,0.218100574,0.005347,93224,0.01791,293.443,129493.159,129493.159
nodelay-experiment,3,mixed,8,1,0,measure,256,256,256,0,0,0,0,0.014969937,0.015604,93224,535.187206,17100.94,553.997,574.457
nodelay-experiment,3,mixed,8,2,0,measure,256,256,256,0,0,0,0,0.025129659,0.018703,93224,318.815259,10187.166,1776.525,1776.525
nodelay-experiment,3,mixed,8,2,1,measure,256,256,256,0,0,0,0,0.025124461,0.021918,93224,318.881219,10189.273,1614.059,1614.059
